,x1,y1,z1,x2,y2,z2,duration,EfhLength,SlopeLength,RiseHeight,startV_label,endV_label
38,86008.46,36416.84,868.42,86008.46,36416.84,868.42,40.5,457.2981084,132.9673943,16.55,1,1
39,86008.46,36416.84,886.45,86008.46,36416.84,886.45,38.19,661.8275148,131.9996049,16.14,1,1
40,86097.62,36455.33,884.86,86097.62,36455.33,884.86,25.12,112.6136573,94.57260967,0.16,1,1
41,86127.22,36462.73,887.93,86127.22,36462.73,887.93,23.5,192.9128125,95.86733353,1.85,1,1
42,85979.3,36380.17,884.98,85979.3,36380.17,884.98,41.44,209.5945724,155.6389567,1.74,1,0
43,85979.3,36380.17,884.98,85979.3,36380.17,884.98,38.7,209.5945724,153.6751819,1.74,1,1
44,85976.84,36378.8,883.84,85976.84,36378.8,883.84,40.07,356.2148855,153.1491704,5.150364822,1,1
45,85969.34,36378.51,885.13,85969.34,36378.51,885.13,35.0,209.594574,157.5657349,1.590000033,1,1
46,85983.73,36389.07,885.03,85983.73,36389.07,885.03,52.25,196.2620774,143.957024,1.75,1,1
47,86032.69,36427.75,886.9,86032.69,36427.75,886.9,31.5,107.375286,104.7922255,0.0,1,1
48,86028.97,36427.64,887.61,86028.97,36427.64,887.61,32.17,117.7142887,108.4636389,0.0,1,1
49,86007.37,36412.43,885.15,86007.37,36412.43,885.15,42.75,136.7565613,133.0538967,0.0,1,1
50,86007.37,36412.43,885.0,86007.37,36412.43,885.0,39.0,136.7565613,133.0534983,0.0,1,1
51,85974.34,36391.88,884.86,85974.34,36391.88,884.86,49.83,189.2145571,171.3466801,0.14,1,1
52,85977.05,36368.89,883.85,85977.05,36368.89,883.85,48.18,213.4496309,162.6381544,1.81,1,1
53,85981.76,36395.93,884.79,85981.76,36395.93,884.79,43.17,189.2145571,163.0448471,0.2,1,1
54,86074.22,36437.7,884.09,86074.22,36437.7,884.09,30.5,147.9792385,124.2718303,0.93,1,1
55,86074.22,36437.7,884.98,86074.22,36437.7,884.98,34.0,131.2173438,124.2653585,0.04,1,0
56,85977.05,36368.89,885.05,85977.05,36368.89,885.05,26.5,174.9022422,162.6169699,0.35,0,0
57,85991.44,36389.07,884.97,85991.44,36389.07,884.97,52.33,220.8281437,178.1003655,1.38,1,1
58,85987.12,36403.34,885.0,85987.12,36403.34,885.0,48.0,171.1078383,156.9303247,0.63,1,1
59,85974.34,36391.88,884.4,85974.34,36391.88,884.4,47.5,189.2145571,171.3511093,0.6,1,1
60,85983.73,36389.07,884.86,85983.73,36389.07,884.86,45.0,196.2620774,143.9756507,1.92,1,1
61,86003.16,36409.87,884.15,86003.16,36409.87,884.15,40.33,156.6468788,138.431904,0.74,1,1
62,85969.34,36378.51,885.07,85969.34,36378.51,885.07,37.5,209.5945724,157.5688671,1.65,1,1
63,86101.18,36445.94,885.0,86101.18,36445.94,885.0,35.56,110.3390352,109.1525831,0.12,1,1
64,86106.82,36441.71,885.0,86106.82,36441.71,885.0,34.41,110.3390352,108.2615767,0.27,1,1
65,86135.34,36447.99,884.56,86135.34,36447.99,884.56,33.17,104.6363234,101.508209,1.74,1,1
66,86192.14,36458.48,885.02,86192.14,36458.48,885.02,30.96,263.2798935,99.14603652,5.05,1,1
67,86220.43,36447.45,885.87,86220.43,36447.45,885.87,28.67,398.0624981,107.6094311,8.089384735,1,1
68,86103.34,36445.31,884.98,86103.34,36445.31,884.98,32.39,110.3390352,107.036497,0.14,0,1
69,86101.18,36445.94,884.86,86101.18,36445.94,884.86,34.8,110.3390352,109.1528268,0.26,1,1
70,86106.82,36441.71,885.17,86106.82,36441.71,885.17,35.73,110.3390352,108.2612442,0.03,1,1
71,86110.86,36447.25,885.54,86110.86,36447.25,885.54,42.25,129.7275885,125.8455506,1.03,1,1
72,86135.34,36447.99,884.75,86135.34,36447.99,884.75,34.6,104.6363234,101.5051299,1.55,1,1
73,86135.34,36447.99,884.56,86135.34,36447.99,884.56,31.55,104.6363234,102.8127657,1.86,1,1
74,86103.34,36445.31,885.66,86103.34,36445.31,885.66,35.2,110.3390352,107.0371907,0.0,1,1
75,86138.0,36453.66,885.0,86138.0,36453.66,885.0,26.67,80.16661496,77.76766616,0.27,1,1
76,86192.14,36458.48,885.02,86192.14,36458.48,885.02,31.29,299.9580776,99.18202592,5.55,1,1
77,86150.12,36452.04,884.51,86150.12,36452.04,884.51,28.5,80.16661496,80.6161206,1.59,1,1
78,86135.34,36447.99,884.56,86135.34,36447.99,884.56,34.0,104.6363234,102.8113496,1.78,1,1
79,86150.12,36456.58,884.34,86150.12,36456.58,884.34,22.25,80.16661496,81.15007332,1.76,1,1
80,86210.14,36452.42,885.12,86210.14,36452.42,885.12,38.0,474.1154719,133.3469691,11.19,1,1
81,86215.07,36443.27,885.27,86215.07,36443.27,885.27,35.2,474.1154719,124.0136729,11.04,1,1
82,86236.42,36438.84,886.3,86236.42,36438.84,886.3,29.86,423.3088413,105.3184975,10.01,1,1
83,86294.73,36379.26,893.51,86294.73,36379.26,893.51,22.9,315.0409753,79.63060366,7.85,1,1
84,86215.07,36443.27,885.2,86215.07,36443.27,885.2,36.17,474.1154719,124.0184901,11.11,1,1
85,86236.42,36438.84,886.57,86236.42,36438.84,886.57,30.0,423.3088413,105.2976267,9.74,1,1
86,86237.2,36434.15,886.42,86237.2,36434.15,886.42,28.92,423.3088413,101.63665,9.89,1,1
87,86276.22,36407.81,890.07,86276.22,36407.81,890.07,22.45,315.0409753,75.75967222,7.93,1,1
